name,flow_cell,scan,bpp
FC1,1,1,475.95
,1,2,470.95
,1,3,469.27
,1,4,468.13
,1,5,468.35
,1,6,468.70
,1,7,467.76
,1,8,466.65
,1,9,467.49
,1,10,467.56
,1,11,467.54
,1,12,467.69
,1,13,467.67
,1,14,467.99
,1,15,467.95
,1,16,468.09
,1,17,468.19
,1,18,468.30
,1,19,468.86
,1,20,468.76
FC2,2,1,483.05
,2,2,478.32
,2,3,476.91
,2,4,476.42
,2,5,477.01
,2,6,477.17
,2,7,474.34
,2,8,470.47
,2,9,470.41
,2,10,470.49
,2,11,470.70
,2,12,470.84
,2,13,471.29
,2,14,471.29
,2,15,471.67
,2,16,471.62
,2,17,471.88
,2,18,471.94
,2,19,472.03
,2,20,472.15
FC3,3,1,487.11
,3,2,480.79
,3,3,478.98
,3,4,478.70
,3,5,479.15
,3,6,479.22
,3,7,475.52
,3,8,475.18
,3,9,472.19
,3,10,471.94
,3,11,472.10
,3,12,472.48
,3,13,472.38
,3,14,473.36
,3,15,472.92
,3,16,473.06
,3,17,473.05
,3,18,473.29
,3,19,473.46
,3,20,473.75
FC4,4,1,492.78
,4,2,487.47
,4,3,485.91
,4,4,485.55
,4,5,485.68
,4,6,485.33
,4,7,480.01
,4,8,476.94
,4,9,476.53
,4,10,476.91
,4,11,477.47
,4,12,477.44
,4,13,477.76
,4,14,478.03
,4,15,478.41
,4,16,478.54
,4,17,478.81
,4,18,478.94
,4,19,479.42
,4,20,479.29
FC5,5,1,491.68
,5,2,486.96
,5,3,485.78
,5,4,485.55
,5,5,485.83
,5,6,485.87
,5,7,486.33
,5,8,480.50
,5,9,480.16
,5,10,480.51
,5,11,480.61
,5,12,480.56
,5,13,480.67
,5,14,480.84
,5,15,481.14
,5,16,481.42
,5,17,481.00
,5,18,481.21
,5,19,481.67
,5,20,481.83
FC6,6,1,488.00
,6,2,484.43
,6,3,483.44
,6,4,483.18
,6,5,483.05
,6,6,483.21
,6,7,479.18
,6,8,476.45
,6,9,476.68
,6,10,477.03
,6,11,476.56
,6,12,485.32
,6,13,477.17
,6,14,477.13
,6,15,477.54
,6,16,477.43
,6,17,477.22
,6,18,477.89
,6,19,477.49
,6,20,477.51
FC7,7,1,486.68
,7,2,479.75
,7,3,478.29
,7,4,477.25
,7,5,477.45
,7,6,474.24
FC8,8,1,467.29
,8,2,467.49
,8,3,467.27
,8,4,468.58
,8,5,468.16
,8,6,468.35
,8,7,468.75
,8,8,468.94
,8,9,468.98
,8,10,469.14
,8,11,469.49
,8,12,469.53
,8,13,469.94
,8,14,469.58
FC9,9,1,479.33
,9,2,473.81
,9,3,473.15
,9,4,474.57
,9,5,475.66
,9,6,476.47
,9,7,476.49
,9,8,477.17
,9,9,477.16
,9,10,469.69
,9,11,469.41
,9,12,480.59
,9,13,469.73
,9,14,470.70
,9,15,470.54
,9,16,470.70
,9,17,470.75
,9,18,470.94
,9,19,470.44
,9,20,471.16
FC10,10,1,499.45
,10,2,496.65
,10,3,496.83
,10,4,497.78
,10,5,497.62
,10,6,499.01
,10,7,483.20
,10,8,482.26
,10,9,482.75
,10,10,483.32
,10,11,483.52
,10,12,483.41
,10,13,483.96
,10,14,484.34
,10,15,484.51
,10,16,484.86
,10,17,484.80
,10,18,484.84
,10,19,485.39
,10,20,485.50
FC11,11,1,482.90
,11,2,479.05

,11,3,477.62
,11,4,477.27
,11,5,477.37
,11,6,477.44
,11,7,472.78
,11,8,472.55
,11,9,472.88
,11,10,472.84
,11,11,472.77
,11,12,472.75
,11,13,472.75
,11,14,472.74
,11,15,472.93
,11,16,472.89
,11,17,473.10
,11,18,473.50
,11,19,473.11
,11,20,473.45
FC12,12,1,496.39
,12,2,492.12
,12,3,491.29
,12,4,491.57
,12,5,491.33
,12,6,491.54
,12,7,483.05
,12,8,482.65
,12,9,482.65
,12,10,482.57
,12,11,483.16
,12,12,483.53
,12,13,483.43
,12,14,483.24
,12,15,483.54
,12,16,483.54
,12,17,483.46
,12,18,484.25
,12,19,484.68
,12,20,484.48
FC13,13,1,498.06
,13,2,495.16
,13,3,494.55
,13,4,494.51
,13,5,494.78
,13,6,495.21
,13,7,490.83
,13,8,487.63
,13,9,487.44
,13,10,487.41
,13,11,487.66
,13,12,487.91
,13,13,487.77
,13,14,488.34
,13,15,488.11
,13,16,488.19
,13,17,488.45
,13,18,488.44
,13,19,488.97
,13,20,489.55
