date,input_bnx,total_flowcell_length_Mb,bnx_count
2013-03-16,Molecules1.bnx,35.3988004,177
2013-03-16,Molecules2.bnx,18.3680164,266
2013-03-18,Molecules3.bnx,135.0905241,928
2013-03-18,Molecules4.bnx,104.8455726,1436
2013-03-18,Molecules5.bnx,102.6049866,1940
2013-03-18,Molecules6.bnx,100.1198959,2418
2013-03-18,Molecules7.bnx,109.9282147,2958
2013-03-18,Molecules8.bnx,135.9126709,3622
2013-03-18,Molecules9.bnx,111.6040533,4164
2013-03-18,Molecules10.bnx,40.3648961,4360
2013-03-18,Molecules11.bnx,44.0343605,4585
2013-03-18,Molecules12.bnx,90.7953463,5039
2013-03-18,Molecules13.bnx,236.0864918,6178
2013-03-18,Molecules14.bnx,229.4343839,7274
2013-03-16,Molecules15.bnx,104.1514236,7751
2013-03-16,Molecules16.bnx,24.5168592,7854
2013-03-16,Molecules17.bnx,69.685945,8174
2013-03-16,Molecules18.bnx,87.1713929,8583
2013-03-16,Molecules19.bnx,87.9697989,8995
2013-03-16,Molecules20.bnx,70.8248176,9330
2013-03-16,Molecules21.bnx,52.6240676,9581
2013-03-16,Molecules22.bnx,141.7464841,10247
2013-03-16,Molecules23.bnx,137.7674437,10886
2013-03-16,Molecules24.bnx,95.4566945,11314
2013-03-16,Molecules25.bnx,59.1541856,11585
2013-03-16,Molecules26.bnx,110.5868589,12113
2013-03-16,Molecules27.bnx,122.9117267,12644
2013-03-19,Molecules28.bnx,4.7429486,12670
2013-03-19,Molecules29.bnx,36.0361743,12866
2013-03-19,Molecules30.bnx,51.8111893,13133
2013-03-19,Molecules31.bnx,58.0952983,13439
2013-03-19,Molecules32.bnx,43.7351004,13650
2013-03-19,Molecules33.bnx,15.7805119,13732
2013-03-16,Molecules34.bnx,120.8609769,14300
2013-03-16,Molecules35.bnx,107.6438784,14807
2013-03-16,Molecules36.bnx,187.0821648,15674
2013-03-16,Molecules37.bnx,187.0821648,16541
2013-03-19,Molecules38.bnx,93.0359719,16957
2013-03-19,Molecules39.bnx,80.8520907,17376
2013-03-19,Molecules40.bnx,49.6391682,17624
2013-03-19,Molecules41.bnx,105.4850874,18155
2013-03-19,Molecules42.bnx,127.5617267,18798
2013-03-19,Molecules43.bnx,108.0406925,19340
2013-03-19,Molecules44.bnx,87.117921,19768
2013-03-19,Molecules45.bnx,44.9579236,19973
2013-06-11,Molecules49.bnx,130.3140236,20606
2013-06-11,Molecules50.bnx,1443.6193524,27627
2013-06-11,Molecules51.bnx,2295.0777826,38807
2013-06-12,Molecules52.bnx,2745.7771576,52028
2013-06-10,Molecules53.bnx,735.0042239,55636
2013-06-10,Molecules54.bnx,879.567382,60063
2013-05-21,Molecules55.bnx,443.300552,62271
2013-05-23,Molecules56.bnx,235.2003417,63488
2013-05-24,Molecules57.bnx,235.2843457,64687
2013-06-20,Molecules58.bnx,86.0048583,65113
2013-06-21,Molecules59.bnx,678.2908981,68789
2013-12-10,Molecules60.bnx,548.740244,70977
2013-12-11,Molecules61.bnx,613.0813132,73433
2013-12-12,Molecules62.bnx,696.5357373,76686
2013-12-16,Molecules63.bnx,3927.4116066,96409
2013-12-17,Molecules64.bnx,147.8808947,97161
2013-12-30,Molecules65.bnx,2181.1401317,108071
2013-12-30,Molecules66.bnx,3179.2495997,124119
2013-12-31,Molecules67.bnx,1464.0215099,131347
2013-05-13,Molecules68.bnx,314.4833879,133007
2013-05-21,Molecules69.bnx,25.4297652,133135
2013-05-22,Molecules70.bnx,222.2573976,134256
2013-05-23,Molecules71.bnx,125.9287238,134941
2013-05-23,Molecules72.bnx,281.9423486,136402
2013-05-24,Molecules73.bnx,422.4758146,138627
2013-06-20,Molecules74.bnx,1129.7444649,144752
2013-08-15,Molecules75.bnx,13.7063985,144823
2013-12-10,Molecules76.bnx,2084.2172625,152643
2013-12-11,Molecules77.bnx,3742.0894035,165303
2013-12-12,Molecules78.bnx,6331.8461138,193877
2014-01-02,Molecules79.bnx,2574.0797626,206731
2014-01-02,Molecules80.bnx,19.9290186,206825
2014-01-03,Molecules81.bnx,957.863286,211559
2014-01-03,Molecules82.bnx,438.7609592,213720
2013-09-18,Molecules84.bnx,90.8858748,214217
2013-09-18,Molecules85.bnx,485.9966091,216794
2013-05-21,Molecules86.bnx,212.7864576,217861
2013-09-19,Molecules87.bnx,1357.1161496,224206
2013-05-09,Molecules88.bnx,191.8197075,225211
2013-05-13,Molecules89.bnx,242.0461825,226498
2013-05-13,Molecules90.bnx,231.5422603,227738
2013-05-14,Molecules91.bnx,129.5236769,228414
2013-05-14,Molecules92.bnx,71.0492228,228790
2013-05-09,Molecules93.bnx,535.9396802,231552
2013-05-09,Molecules94.bnx,388.2407949,233599
2013-05-10,Molecules95.bnx,408.8354541,235783
2013-05-10,Molecules96.bnx,283.4137338,237279
2013-05-10,Molecules97.bnx,430.952386,239558
